gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
IKZF4,0.00024768005726997345,-0.11319404499574588,PBS,IL-10,0.00048486813463710925,All age groups,parsebioscience,IL-10,CD4T
IKZF5,2.427136997317751e-13,0.41799903278916783,PBS,IL-10,2.5218545386764928e-12,All age groups,parsebioscience,IL-10,CD4T
IRF1,8.786895773394997e-19,-1.2427082104999587,PBS,IL-10,7.599805569430366e-17,All age groups,parsebioscience,IL-10,CD4T
IRF2,5.120389335548496e-17,-0.6825321800351002,PBS,IL-10,1.3633036605897871e-15,All age groups,parsebioscience,IL-10,CD4T
IRF3,1.5208958784934202e-13,-0.5562827564506059,PBS,IL-10,1.6612862672774282e-12,All age groups,parsebioscience,IL-10,CD4T
IRF4,7.716601926207759e-16,-0.32039116361243164,PBS,IL-10,1.314908968225802e-14,All age groups,parsebioscience,IL-10,CD4T
IRF5,2.3407454141594052e-07,-0.23904788184691292,PBS,IL-10,8.746996021332515e-07,All age groups,parsebioscience,IL-10,CD4T
IRF7,2.013517947166588e-17,-3.193322216155437,PBS,IL-10,6.126847467806903e-16,All age groups,parsebioscience,IL-10,CD4T
IRF9,1.0181690047472296e-17,-2.166166837331484,PBS,IL-10,4.3373999602231983e-16,All age groups,parsebioscience,IL-10,CD4T
JAZF1,0.22143626557349705,-0.07896158632907974,PBS,IL-10,0.25088257748486636,All age groups,parsebioscience,IL-10,CD4T
JUN,0.0013902298403534468,-0.21002282452646423,PBS,IL-10,0.002218119520563926,All age groups,parsebioscience,IL-10,CD4T
JUNB,0.08304009896496838,0.11508442075236419,PBS,IL-10,0.10049739249737649,All age groups,parsebioscience,IL-10,CD4T
JUND,0.0055902600647169745,-0.1754242944545232,PBS,IL-10,0.007833719695952077,All age groups,parsebioscience,IL-10,CD4T
KAT7,0.000155564784447597,0.3623108326352988,PBS,IL-10,0.00032014781726896773,All age groups,parsebioscience,IL-10,CD4T
KCMF1,7.057303420741752e-07,0.27566071570110234,PBS,IL-10,2.4245252074483764e-06,All age groups,parsebioscience,IL-10,CD4T
KDM2A,1.9046881549773283e-09,0.4239792114698208,PBS,IL-10,9.749230618661409e-09,All age groups,parsebioscience,IL-10,CD4T
KDM2B,0.000618819167637137,0.326277721485059,PBS,IL-10,0.0010893263033612411,All age groups,parsebioscience,IL-10,CD4T
KDM5B,0.0003813682411445306,0.2090961738381374,PBS,IL-10,0.000706360307511174,All age groups,parsebioscience,IL-10,CD4T
KLF10,1.135468631057918e-07,-0.3441351188462056,PBS,IL-10,4.3973603348243005e-07,All age groups,parsebioscience,IL-10,CD4T
KLF11,8.468105255766454e-07,0.17720909305360993,PBS,IL-10,2.8182912804347726e-06,All age groups,parsebioscience,IL-10,CD4T
KLF12,2.648123675578478e-09,0.5289412274697218,PBS,IL-10,1.3271772774075667e-08,All age groups,parsebioscience,IL-10,CD4T
KLF13,0.03425888308767855,0.15137046286714576,PBS,IL-10,0.04317835560754752,All age groups,parsebioscience,IL-10,CD4T
KLF2,0.09966132231344167,-0.09135809415025038,PBS,IL-10,0.11760588173275942,All age groups,parsebioscience,IL-10,CD4T
KLF3,4.292757601756227e-11,0.4043598197191226,PBS,IL-10,2.8134072897663885e-10,All age groups,parsebioscience,IL-10,CD4T
KLF4,0.012082818258953461,0.11729231526300533,PBS,IL-10,0.01613567579408832,All age groups,parsebioscience,IL-10,CD4T
KLF6,2.1798777929814878e-15,-0.9552820005356281,PBS,IL-10,3.0954264660337123e-14,All age groups,parsebioscience,IL-10,CD4T
KLF7,4.719111035496378e-10,0.24370166046910208,PBS,IL-10,2.6108328585992946e-09,All age groups,parsebioscience,IL-10,CD4T
KLF8,0.0012764201260447251,-0.1581262057867129,PBS,IL-10,0.0020596779306630794,All age groups,parsebioscience,IL-10,CD4T
KLF9,7.532761627058127e-07,0.22180565774383793,PBS,IL-10,2.56716516250141e-06,All age groups,parsebioscience,IL-10,CD4T
KMT2A,0.002369737352463506,0.18323544788188292,PBS,IL-10,0.0035297486438792083,All age groups,parsebioscience,IL-10,CD4T
L3MBTL3,1.3489343401203367e-05,0.4028025172901334,PBS,IL-10,3.5915376805703966e-05,All age groups,parsebioscience,IL-10,CD4T
LCOR,4.471593626458585e-06,0.4419744636388353,PBS,IL-10,1.3228464478273315e-05,All age groups,parsebioscience,IL-10,CD4T
LEF1,4.48867601176617e-12,0.8579439455445127,PBS,IL-10,3.5410666315044235e-11,All age groups,parsebioscience,IL-10,CD4T
LIN54,0.0037822942526173358,0.14280880055354536,PBS,IL-10,0.005388820573963161,All age groups,parsebioscience,IL-10,CD4T
LYL1,4.9081224662017816e-12,-0.386849773610783,PBS,IL-10,3.801563946549016e-11,All age groups,parsebioscience,IL-10,CD4T
MAF,1.0949176830990924e-14,-0.7598138135149326,PBS,IL-10,1.4134391909097375e-13,All age groups,parsebioscience,IL-10,CD4T
MAFF,0.5856683449460106,0.02751044960158441,PBS,IL-10,0.630037158957072,All age groups,parsebioscience,IL-10,CD4T
MAX,5.9578043227964534e-12,-0.4831322752808386,PBS,IL-10,4.452674809668929e-11,All age groups,parsebioscience,IL-10,CD4T
MAZ,7.640870556996719e-11,-0.5966001885986235,PBS,IL-10,4.931834632243337e-10,All age groups,parsebioscience,IL-10,CD4T
MBD1,1.2115247714729327e-05,0.1484011069697502,PBS,IL-10,3.287321991385155e-05,All age groups,parsebioscience,IL-10,CD4T
MBD2,0.00014912835775376273,-0.14676351884099803,PBS,IL-10,0.0003114151000152104,All age groups,parsebioscience,IL-10,CD4T
MBD4,0.0014898087690176738,-0.15463319887030771,PBS,IL-10,0.0023587589189950743,All age groups,parsebioscience,IL-10,CD4T
MBNL2,0.02902491784628003,0.1882585861163933,PBS,IL-10,0.036799449412247894,All age groups,parsebioscience,IL-10,CD4T
MECP2,0.05820999371421935,0.1332002588551632,PBS,IL-10,0.07187668789060128,All age groups,parsebioscience,IL-10,CD4T
MEF2A,3.7979023665706673e-06,0.16697117252398572,PBS,IL-10,1.1427018233456407e-05,All age groups,parsebioscience,IL-10,CD4T
MEF2D,8.981738960477876e-05,0.32668579528443015,PBS,IL-10,0.0001962164511365936,All age groups,parsebioscience,IL-10,CD4T
MEOX1,0.9270407928468614,-0.004882705976244583,PBS,IL-10,0.9380507785101257,All age groups,parsebioscience,IL-10,CD4T
MGA,7.632559989096561e-06,0.3991278077711589,PBS,IL-10,2.1532917585133343e-05,All age groups,parsebioscience,IL-10,CD4T
MLX,3.4195959227680918e-09,-0.2384619570846392,PBS,IL-10,1.6744228311485137e-08,All age groups,parsebioscience,IL-10,CD4T
MLXIP,0.0006881242935512843,0.09273802576474602,PBS,IL-10,0.0012013973321837997,All age groups,parsebioscience,IL-10,CD4T
MSC,2.7769258300137526e-07,-0.2845545118894937,PBS,IL-10,9.940927761225703e-07,All age groups,parsebioscience,IL-10,CD4T
MTERF4,0.019749051997086837,0.11580404571240305,PBS,IL-10,0.02557172082297566,All age groups,parsebioscience,IL-10,CD4T
MTF2,7.550351322725025e-06,-0.21264806666918068,PBS,IL-10,2.144299775653907e-05,All age groups,parsebioscience,IL-10,CD4T
MXD3,0.2436663934957194,-0.03609313007168117,PBS,IL-10,0.2753365613506007,All age groups,parsebioscience,IL-10,CD4T
