gene,p_value,slope,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
NR3C1,1.9426362037766705e-42,0.5100915432080488,4.823096781790354e-42,healthy,aging,aida,CD8T,5.7785588646235e-50,8.43357239701808e-50,49.07398842256745,Increase in aging
NR3C2,5.285521105801622e-42,-0.5077478496039329,1.240948433536033e-41,healthy,aging,aida,CD8T,1.6799991998704e-56,4.806355326781549e-56,55.31818412559284,Decrease in aging
NR4A1,0.0004984632360987413,-0.13930988166617542,0.0005549899948315883,healthy,aging,aida,CD8T,1.21018499577036e-27,1.39042531428935e-27,26.856852333993725,Decrease in aging
NR4A2,0.689197666999499,0.01608056570449024,0.70720520699236,healthy,aging,aida,CD8T,1.13871421674687e-05,1.17967515979531e-05,4.928237565346664,Inconsistent
NR4A3,0.6580530713540811,-0.01779548485863596,0.6768545876784834,healthy,aging,aida,CD8T,0.0033512082790322,0.0033904495937749,2.4697427079476832,Inconsistent
PA2G4,5.032581461994441e-37,-0.47952274900826813,7.99292349846176e-37,healthy,aging,aida,CD8T,1.3136598627979801e-58,5.40477200694027e-58,57.26722262145464,Decrease in aging
PATZ1,6.645120605371883e-44,-0.5178632786180335,1.8401872445645215e-43,healthy,aging,aida,CD8T,1.54126936051098e-57,5.16146018403676e-57,56.287227418496755,Decrease in aging
PBX2,5.042807501828026e-41,-0.5023986802946385,1.0575207964998579e-40,healthy,aging,aida,CD8T,3.9566284891980005e-60,3.22930148281783e-59,58.49089140799858,Decrease in aging
PBX4,0.04423549248550471,-0.08076365703633116,0.04683758027876969,healthy,aging,aida,CD8T,3.78553353098285e-11,4.0478972410509595e-11,10.392770520923936,Decrease in aging
PHF1,1.1817729576855373e-16,-0.324100396747822,1.479785268754064e-16,healthy,aging,aida,CD8T,3.58199360580023e-47,4.91244837366889e-47,46.308702000718,Decrease in aging
PHF20,3.2945990683638703e-10,-0.24870605947748878,3.931676236279536e-10,healthy,aging,aida,CD8T,8.95684646976716e-46,1.1869195321899998e-45,44.92557872326145,Decrease in aging
PHF21A,3.582689886968473e-45,0.5244291695959624,1.3458452444959828e-44,healthy,aging,aida,CD8T,2.61067308511392e-52,4.6603750940876704e-52,51.33157912735793,Increase in aging
PIN1,1.0221728479548389e-35,0.4716508377581794,1.5548544729453887e-35,healthy,aging,aida,CD8T,6.08535935118904e-53,1.1939407336837101e-52,51.92301723072168,Increase in aging
PLAG1,1.1124069678767991e-44,-0.5218988336397687,3.7252698459130016e-44,healthy,aging,aida,CD8T,6.07258140313474e-59,2.82081200661743e-58,57.549625856492355,Decrease in aging
PLSCR1,0.34123915727966636,0.03825428866260549,0.35521762878268887,healthy,aging,aida,CD8T,0.0242148191554833,0.0242710020305541,1.6149122934102542,Increase in aging
POU2F2,2.9875048692936884e-45,-0.5248329306127442,1.1523233067275656e-44,healthy,aging,aida,CD8T,1.0190918820901e-59,6.670419591862501e-59,58.17584684663831,Decrease in aging
PPARA,1.9822353987720147e-45,0.5257426084442219,8.078544266693494e-45,healthy,aging,aida,CD8T,4.9311816293406295e-55,1.19678115948042e-54,53.921985256376416,Increase in aging
PPARD,1.6987418334017696e-43,-0.5157222174050213,4.529978222404719e-43,healthy,aging,aida,CD8T,1.36977634421515e-58,5.58248472359381e-58,57.253172456696824,Decrease in aging
PRDM1,8.05535112748547e-42,0.5067557403643734,1.8219432916616349e-41,healthy,aging,aida,CD8T,2.14666924260709e-55,5.42316440237582e-55,54.26574722979608,Increase in aging
PRDM2,3.868922652602606e-06,-0.18411051235617665,4.456998895798202e-06,healthy,aging,aida,CD8T,6.42353690026341e-38,7.70824428031609e-38,37.11304453066523,Decrease in aging
PREB,5.0081438656683025e-26,0.4058679174567897,6.719000465741325e-26,healthy,aging,aida,CD8T,7.57946842655798e-52,1.28405112167571e-51,50.89141768544185,Increase in aging
RARA,0.03357041888250877,0.08529748473184896,0.03572024866316204,healthy,aging,aida,CD8T,0.012941457574425,0.0130016504003525,1.8860015158260741,Inconsistent
RARG,7.079591178858057e-08,-0.21417584589145638,8.24362099532798e-08,healthy,aging,aida,CD8T,3.30325748566987e-23,3.69690993214866e-23,22.432161130018542,Decrease in aging
RBCK1,1.5293737487534873e-37,0.4825808815661009,2.4744923575337323e-37,healthy,aging,aida,CD8T,1.92918162683515e-51,3.12137251982316e-51,50.50565439741951,Increase in aging
RBPJ,5.554276100612849e-43,-0.5129978706461642,1.445450165942621e-42,healthy,aging,aida,CD8T,1.68577333017295e-55,4.30919573156637e-55,54.36560377901244,Decrease in aging
REL,3.036534630389969e-22,0.3756315807298587,3.915770030831244e-22,healthy,aging,aida,CD8T,3.67323344293536e-48,5.08601553637204e-48,47.29362231750865,Increase in aging
RELA,4.463531470223025e-49,0.5437838586989202,9.641227975681736e-48,healthy,aging,aida,CD8T,6.85308658374194e-52,1.16556433235296e-51,50.9334637509595,Increase in aging
RELB,0.00020370544999098972,0.14852455519032348,0.00022916863123986344,healthy,aging,aida,CD8T,1.4812768217429e-22,1.65351831264324e-22,21.781590990931186,Increase in aging
REPIN1,4.602992756081282e-46,-0.5289582854931466,2.4856160882838925e-45,healthy,aging,aida,CD8T,3.81669135047078e-60,3.22930148281783e-59,58.49089140799858,Decrease in aging
REST,0.0006241865220944782,-0.1369041828010094,0.0006914066090892682,healthy,aging,aida,CD8T,1.7335931943254099e-28,1.99709935986288e-28,27.699600327534547,Decrease in aging
REXO4,5.758742757285518e-45,-0.5233718219996877,2.1082854840231728e-44,healthy,aging,aida,CD8T,4.4282249667241e-59,2.2244106809590803e-58,57.65278502823708,Decrease in aging
RFX2,1.4751440014465016e-44,-0.5212651970149224,4.755688124066334e-44,healthy,aging,aida,CD8T,3.14584062322843e-58,1.1715544389954099e-57,56.93123752609733,Decrease in aging
RFX3,4.4445325541459405e-26,-0.40626142780592,5.981426988757153e-26,healthy,aging,aida,CD8T,2.59809801131648e-60,2.43995291497547e-59,58.61261855438407,Decrease in aging
RFX7,0.0018785891985382925,-0.12451626347569655,0.0020545583133380818,healthy,aging,aida,CD8T,9.4157952572278e-35,1.10834429185897e-34,33.955325311062175,Decrease in aging
RLF,0.7060546096937013,0.015164597120981818,0.7227857615821776,healthy,aging,aida,CD8T,7.02486038032947e-07,7.3302890925177e-07,6.134878897281189,Inconsistent
RORA,1.1212695783039923e-33,0.45894582443011533,1.641994772296016e-33,healthy,aging,aida,CD8T,1.86701540816181e-49,2.688502187753e-49,48.570489605782114,Increase in aging
RORC,1.9960222973421707e-05,-0.17025386533965084,2.2691621906626783e-05,healthy,aging,aida,CD8T,7.357603707508379e-11,7.82878029961482e-11,10.10630589444375,Inconsistent
RUNX1,5.785399413614343e-46,0.5284570303512699,2.9753482698588047e-45,healthy,aging,aida,CD8T,4.92616929573479e-53,9.71737504912069e-53,52.01245103503693,Increase in aging
RUNX2,2.798930089508553e-46,-0.5300460592765333,1.679358053705132e-45,healthy,aging,aida,CD8T,2.06436596267563e-58,8.03428915203487e-58,57.0950525421745,Decrease in aging
RUNX3,2.381588863235428e-38,0.48729476010858086,4.0032933420922364e-38,healthy,aging,aida,CD8T,3.44213951188107e-53,6.981240700153161e-53,52.156067388072074,Increase in aging
RXRA,5.9473235635203015e-37,0.47909146908419736,9.411149375240918e-37,healthy,aging,aida,CD8T,8.71047719267902e-52,1.46989302626459e-51,50.83271427055352,Increase in aging
SAFB,1.657730886162441e-27,-0.41690046794122493,2.2734595010227763e-27,healthy,aging,aida,CD8T,9.827193940003091e-60,6.53130428012513e-59,58.18500008287513,Decrease in aging
SAFB2,3.1083499135144105e-05,-0.16632044105307295,3.5244282483942925e-05,healthy,aging,aida,CD8T,3.9438401701472205e-31,4.57994342339677e-31,30.33913988685603,Decrease in aging
SATB1,2.353085714290061e-42,-0.5096441228684097,5.743124455216421e-42,healthy,aging,aida,CD8T,1.14980017273577e-57,3.9887902028755796e-57,56.39915880553763,Decrease in aging
SCML4,1.4420584218446439e-44,-0.5213161746628513,4.683979234863806e-44,healthy,aging,aida,CD8T,5.99213010808481e-60,4.4631038046424805e-59,58.3503630120483,Decrease in aging
SETBP1,5.211604155076167e-40,0.4967583068106707,9.918118920673587e-40,healthy,aging,aida,CD8T,9.59172838718695e-52,1.61230609465555e-51,50.7925525043422,Increase in aging
SGSM2,8.174088973081675e-42,-0.5067212289478552,1.839170018943377e-41,healthy,aging,aida,CD8T,5.487569498303e-57,1.65778323305377e-56,55.780472257165194,Decrease in aging
SKIL,0.6171478857553245,0.020098626921774013,0.636295672186874,healthy,aging,aida,CD8T,6.27947408872572e-05,6.45888763411789e-05,4.189842270853513,Inconsistent
SMAD3,7.943388428228296e-46,0.5277606365826606,3.729938914124591e-45,healthy,aging,aida,CD8T,1.13679328535076e-57,3.9887902028755796e-57,56.39915880553763,Increase in aging
SMAD5,3.874029218717732e-46,0.5293357306149797,2.1734813279039745e-45,healthy,aging,aida,CD8T,2.76053830665151e-53,5.76112342257707e-53,52.2394928206301,Increase in aging
SNAI3,6.033606274424479e-36,0.47304385086021195,9.210310637990724e-36,healthy,aging,aida,CD8T,1.0758150629265401e-53,2.30075300586269e-53,52.63813000190871,Increase in aging
SON,5.891519269834133e-49,0.5432047085079957,1.0604734685701439e-47,healthy,aging,aida,CD8T,6.890530368124229e-56,1.8721441000186597e-55,54.72766072641287,Increase in aging
SOX12,1.6269875459292804e-44,-0.5210449204428247,5.130354889353643e-44,healthy,aging,aida,CD8T,2.4285043935021e-59,1.32799227594039e-58,57.87680445096666,Decrease in aging
SOX13,3.3624141641290404e-41,0.5033668796639305,7.155482359131751e-41,healthy,aging,aida,CD8T,1.4517404229367901e-52,2.68743419927196e-52,51.570662160469055,Increase in aging
SOX4,3.2242136831291927e-49,-0.5444610543955956,7.738112839510062e-48,healthy,aging,aida,CD8T,5.2938630330380806e-61,7.62316276757483e-60,59.117864807200334,Decrease in aging
SP100,1.1995192422579332e-40,0.5003181957655221,2.4101968030484986e-40,healthy,aging,aida,CD8T,1.61214508980345e-47,2.21798305348755e-47,46.6540417764037,Increase in aging
SP110,2.8635242401276018e-37,-0.48097438389914304,4.581638784204163e-37,healthy,aging,aida,CD8T,2.01824441847081e-60,2.22915600517692e-59,58.65185953680615,Decrease in aging
SP140,3.9871531150049654e-44,0.5190221303805383,1.1560068091826477e-43,healthy,aging,aida,CD8T,2.0336855802668402e-54,4.6731498440174204e-54,53.33039029314933,Increase in aging
SP140L,8.757973872375004e-45,-0.522434700449192,2.97909032509134e-44,healthy,aging,aida,CD8T,3.64871947116402e-60,3.15249362308571e-59,58.501345783251786,Decrease in aging
SP3,2.6002157374569035e-22,0.37619857548359253,3.3631532891658154e-22,healthy,aging,aida,CD8T,5.83012743154651e-40,7.1348868284082e-40,39.14661291115306,Inconsistent
SP4,7.05327344267492e-45,0.5229189379790021,2.477247257915094e-44,healthy,aging,aida,CD8T,2.56201320044461e-52,4.6116237608003e-52,51.33614613183561,Increase in aging
SPEN,4.6986785364558575e-22,0.3740298449867488,6.041158118300388e-22,healthy,aging,aida,CD8T,5.01660227915493e-40,6.15673916078106e-40,39.21064924553684,Inconsistent
SREBF1,1.0939885951505893e-45,-0.5270558467904247,4.974769190579522e-45,healthy,aging,aida,CD8T,1.62187213480411e-58,6.48748853921645e-58,57.18792339636652,Decrease in aging
SREBF2,2.115232690240125e-44,0.5204540910070945,6.527003729883815e-44,healthy,aging,aida,CD8T,5.67689318210743e-51,8.75863519525146e-51,50.05756356202248,Increase in aging
STAT1,2.2964197180655494e-16,-0.32115983358351646,2.867206121977796e-16,healthy,aging,aida,CD8T,4.59662179344494e-51,7.1687386814737e-51,50.14455725044985,Decrease in aging
STAT3,6.117077248217338e-06,-0.18034701356269497,7.009489048355146e-06,healthy,aging,aida,CD8T,2.60113270355935e-43,3.33438969714433e-43,42.47698364463126,Decrease in aging
STAT4,5.54056756116684e-41,0.5021733661083649,1.1507332627038823e-40,healthy,aging,aida,CD8T,2.81078309096144e-51,4.51397135797525e-51,50.34544120093233,Increase in aging
STAT5A,4.0272028040189647e-44,-0.5189994987108826,1.1598344075574618e-43,healthy,aging,aida,CD8T,1.76760935430702e-57,5.82906290885979e-57,56.234401257629045,Decrease in aging
STAT5B,7.480007062174802e-42,0.5069304528440746,1.7070948458158183e-41,healthy,aging,aida,CD8T,1.9321785063055803e-46,2.60031499914022e-46,45.58497403891302,Increase in aging
STAT6,1.5256991802213983e-22,-0.37813880882401185,1.979285422989922e-22,healthy,aging,aida,CD8T,5.1019684683189e-52,8.851607945035211e-52,51.0529778300677,Decrease in aging
TBPL1,5.0688801618841276e-45,0.5236564597320024,1.8715865213110626e-44,healthy,aging,aida,CD8T,5.27673794708363e-54,1.1512882793637e-53,52.93881591663001,Increase in aging
TBX21,5.443345637209353e-39,0.49098444908242117,9.798022146976835e-39,healthy,aging,aida,CD8T,4.04289743694869e-53,8.08579487389738e-53,52.092277280348924,Increase in aging
TCF12,9.921375322054474e-42,0.5062639589446782,2.209295948003883e-41,healthy,aging,aida,CD8T,1.10792307606915e-48,1.54894099955299e-48,47.80996512456266,Increase in aging
TCF3,2.508741510891831e-49,-0.5449824098686615,6.3751548982663e-48,healthy,aging,aida,CD8T,4.5029726003157704e-61,7.20475616050524e-60,59.142380712967835,Decrease in aging
TCF7,3.655748204913551e-39,-0.49197197183743246,6.607879600513197e-39,healthy,aging,aida,CD8T,2.2544438577747397e-55,5.629593910743849e-55,54.24952293173549,Decrease in aging
TERF1,4.701469748246756e-44,0.5186487454253543,1.3274738112696723e-43,healthy,aging,aida,CD8T,9.552520828546189e-50,1.38479496574898e-49,48.858614523953726,Increase in aging
TET2,0.02218743305965258,0.09177106957540133,0.023843211646193817,healthy,aging,aida,CD8T,8.47035503860365e-13,9.17091071848816e-13,12.03758753451812,Inconsistent
TFAP4,7.309071917006273e-48,-0.5378984466388459,7.893797670366775e-47,healthy,aging,aida,CD8T,7.59633071015319e-59,3.3831081100888405e-58,57.470684123741776,Decrease in aging
TFDP2,1.632140998186099e-38,0.4882436862176676,2.809103231937828e-38,healthy,aging,aida,CD8T,2.4338608254962397e-49,3.4815492603125e-49,48.45822745562827,Increase in aging
TFEB,6.071721131207674e-38,0.4849316929932314,1.0011387514052347e-37,healthy,aging,aida,CD8T,6.49849504035675e-51,9.919964160544571e-51,50.00348989688875,Increase in aging
TGIF1,1.5346321387137786e-13,0.29048682843973955,1.8674960110545134e-13,healthy,aging,aida,CD8T,1.1573042320313e-39,1.41230346959752e-39,38.85007197395643,Increase in aging
TGIF2,1.5091549094395928e-47,-0.5363530269109258,1.4169781953109654e-46,healthy,aging,aida,CD8T,2.02612734347114e-59,1.15169343734149e-58,57.938663107882476,Decrease in aging
THAP11,1.6833750276500313e-13,-0.2900231674335036,2.0427472245640828e-13,healthy,aging,aida,CD8T,8.08493373195556e-26,9.16716895591811e-26,25.03776476429225,Decrease in aging
THAP5,4.386658001054815e-40,-0.4971780829292353,8.497920432536682e-40,healthy,aging,aida,CD8T,2.8597546032115797e-56,8.022168757061049e-56,55.09570820629235,Decrease in aging
THAP7,4.2995721023101357e-42,-0.5082327638281845,1.0205577737351531e-41,healthy,aging,aida,CD8T,1.0526306053368198e-56,3.0519222919832696e-56,55.5154265285784,Decrease in aging
THRA,2.858297189382569e-46,-0.5300002445565658,1.691485460018178e-45,healthy,aging,aida,CD8T,6.67858980434838e-59,3.06930935689202e-58,57.51295933665119,Decrease in aging
THYN1,5.053218894378564e-43,-0.5132161923232086,1.3230245832554788e-42,healthy,aging,aida,CD8T,5.98195529870323e-59,2.80891814026065e-58,57.55146091717119,Decrease in aging
TIGD1,7.296425697776032e-45,-0.5228431732643074,2.5216447211513965e-44,healthy,aging,aida,CD8T,2.36197920375253e-59,1.30817309746294e-58,57.88333478636407,Decrease in aging
TMF1,1.2868913236728877e-25,0.40273870691983876,1.715855098230517e-25,healthy,aging,aida,CD8T,2.2585998741227097e-43,2.90391412387206e-43,42.53701623097468,Increase in aging
TOPORS,0.905657825755513,0.004765507822093239,0.9141219175850038,healthy,aging,aida,CD8T,7.77902926049619e-07,8.09768829044423e-07,6.091638944824398,Inconsistent
TRAFD1,1.2091425406000128e-47,0.5368263120158859,1.2147664593935012e-46,healthy,aging,aida,CD8T,3.83861249941785e-47,5.24772341692566e-47,46.28002906266981,Increase in aging
TRERF1,1.6754444292541269e-44,0.5209789051406396,5.207136643437287e-44,healthy,aging,aida,CD8T,8.56504717688811e-53,1.6300001675839902e-52,51.787812350945245,Increase in aging
TSC22D1,0.0024742685437711904,-0.12124404484676825,0.002692403050149003,healthy,aging,aida,CD8T,5.32264117949478e-05,5.48778279126908e-05,4.260603086517794,Inconsistent
TSHZ2,4.234971446329143e-44,-0.518885563417134,1.2115944800093974e-43,healthy,aging,aida,CD8T,1.35040980309036e-57,4.59351996011839e-57,56.33785439215464,Decrease in aging
TSHZ3,1.3679087528766357e-36,0.4769313100502796,2.141074569719952e-36,healthy,aging,aida,CD8T,2.71681513172079e-50,4.06112158098056e-50,49.39135400850096,Increase in aging
USF2,5.604376445978535e-49,0.5433090447657773,1.0604734685701439e-47,healthy,aging,aida,CD8T,4.55144416202426e-50,6.71066169963987e-50,49.17323465444595,Inconsistent
USF3,1.8053736002739606e-40,0.49933160033252316,3.577621079441977e-40,healthy,aging,aida,CD8T,3.91585844770486e-46,5.2373091312956605e-46,45.28089179118279,Increase in aging
VEZF1,1.392025059869956e-49,0.5462027405743175,3.7584676616488814e-48,healthy,aging,aida,CD8T,6.10789125333565e-53,1.1939407336837101e-52,51.92301723072168,Increase in aging
XBP1,5.8267031173983036e-39,0.49081530053479483,1.0401387383124244e-38,healthy,aging,aida,CD8T,4.54017993789525e-54,1.0058244785491001e-53,52.99747779924856,Increase in aging
XPA,6.2191290264359655e-40,-0.4963271522003855,1.1732156067337718e-39,healthy,aging,aida,CD8T,3.07303970013692e-57,9.833727040438159e-57,56.00728185080249,Decrease in aging
YBX1,1.9828722096721498e-32,0.45090501525997123,2.845849815874979e-32,healthy,aging,aida,CD8T,1.61063685792753e-44,2.1148787921723101e-44,43.67471451783936,Increase in aging
YBX3,5.473268973717614e-32,-0.44801099363558894,7.777803278440819e-32,healthy,aging,aida,CD8T,6.537342204978239e-55,1.56896212919478e-54,53.80438753906458,Decrease in aging
YY1,1.3232272279656989e-44,0.5215093583945305,4.3636195609250524e-44,healthy,aging,aida,CD8T,4.7151987191333195e-50,6.92845526076733e-50,49.159363583065904,Increase in aging
ZBED3,2.3500211992423358e-45,-0.5253655142009882,9.313845486905403e-45,healthy,aging,aida,CD8T,4.21226488951063e-59,2.1408216850218702e-58,57.66941950479155,Decrease in aging
ZBED5,5.004447452551936e-46,-0.5287750516760336,2.636489389637117e-45,healthy,aging,aida,CD8T,3.7768405320229203e-59,1.96577724076374e-58,57.706465697382974,Decrease in aging
ZBTB1,3.468988423799989e-06,0.18499572893673094,4.006959890592501e-06,healthy,aging,aida,CD8T,6.68413208322926e-26,7.59880278935537e-26,25.11925482652626,Increase in aging
ZBTB10,3.759447876277381e-19,-0.3483057318587207,4.762702294873397e-19,healthy,aging,aida,CD8T,2.8594512072421604e-54,6.43376521629485e-54,53.191534791604404,Decrease in aging
ZBTB11,1.027652067197038e-45,0.527193717017198,4.722826521586388e-45,healthy,aging,aida,CD8T,7.979921764690659e-50,1.16071589304591e-49,48.93527406896231,Increase in aging
ZBTB16,0.006521428212735711,0.10905755490021857,0.007060794455894304,healthy,aging,aida,CD8T,2.39497235891485e-20,2.65289245910568e-20,19.57628035475329,Increase in aging
ZBTB18,5.608103032386291e-47,-0.5335344943109102,4.177069844811857e-46,healthy,aging,aida,CD8T,2.92794064251347e-59,1.56156834267385e-58,57.80643900394315,Decrease in aging
ZBTB20,3.0947716620266465e-36,-0.4747988704257078,4.791904508944485e-36,healthy,aging,aida,CD8T,8.457022017839131e-59,3.69033688051162e-58,57.43293398650513,Decrease in aging
ZBTB21,0.9416661798619709,-0.0029423676828163347,0.9482512580428238,healthy,aging,aida,CD8T,0.0052945687200189,0.0053440506706733,2.27212943266397,Inconsistent
ZBTB24,6.098042277051084e-40,-0.4963751473802201,1.155418536704416e-39,healthy,aging,aida,CD8T,1.51484705328593e-59,9.08908231971561e-59,58.04147996315894,Decrease in aging
ZBTB25,2.1804407242672605e-42,-0.5098220684437759,5.3519908686560034e-42,healthy,aging,aida,CD8T,2.9061921931135996e-57,9.369216622575199e-57,56.028296719754216,Decrease in aging
ZBTB38,3.1754010234799895e-44,0.5195371449760595,9.331790762879969e-44,healthy,aging,aida,CD8T,1.85333968709177e-54,4.30453088614862e-54,53.36607417165707,Increase in aging
ZBTB4,1.000280190263749e-31,-0.4462790318066194,1.4167903022752119e-31,healthy,aging,aida,CD8T,5.51045370046975e-54,1.19623919527785e-53,52.922181971850335,Decrease in aging
ZBTB43,1.936032889787307e-46,0.5308494960806903,1.1948088691258808e-45,healthy,aging,aida,CD8T,2.58342589715392e-54,5.87389467142365e-54,53.23107384535657,Increase in aging
ZBTB44,8.454217066026784e-41,0.5011598532742473,1.7146581091659954e-40,healthy,aging,aida,CD8T,3.2020881965932497e-49,4.5503358583167294e-49,48.34195654707244,Increase in aging
ZBTB49,5.558993687892531e-48,0.5384797772896374,6.490500738296144e-47,healthy,aging,aida,CD8T,8.63427223304967e-56,2.26060945738028e-55,54.64577445983721,Increase in aging
ZBTB7A,1.6230373499263783e-41,0.5050990419949567,3.541172399839371e-41,healthy,aging,aida,CD8T,6.648719372082721e-52,1.13527540266393e-51,50.94489877164383,Increase in aging
ZBTB7B,5.073889241808342e-42,0.5078438900891166,1.1977705751154119e-41,healthy,aging,aida,CD8T,7.050523234220161e-54,1.51533633690702e-53,52.819490962507444,Increase in aging
ZC3H8,6.7892835637211204e-46,-0.5281057256850856,3.4505535288559104e-45,healthy,aging,aida,CD8T,7.38794306907023e-61,9.671489108601021e-60,59.014506652922265,Decrease in aging
ZEB1,2.0014934536658387e-34,-0.4636683245610355,2.9712892508028943e-34,healthy,aging,aida,CD8T,7.27070562154842e-55,1.73532863453531e-54,53.7606182668962,Decrease in aging
ZEB2,4.3333571268343966e-41,0.5027612381387578,9.131757457524192e-41,healthy,aging,aida,CD8T,1.4556935246056401e-52,2.68743419927196e-52,51.570662160469055,Increase in aging
ZFP14,1.2703970608439073e-48,-0.541595554188786,2.106600977015848e-47,healthy,aging,aida,CD8T,2.3987286019895702e-60,2.35511535468067e-59,58.6279878160619,Decrease in aging
ZFP28,3.535373115497567e-23,-0.3833941682335041,4.6281248057422695e-23,healthy,aging,aida,CD8T,5.050415629859951e-44,6.5716251569262e-44,43.18232721652749,Decrease in aging
ZFP62,7.928828196069741e-46,-0.5277646716865527,3.729938914124591e-45,healthy,aging,aida,CD8T,6.373691965387519e-57,1.8859143349639798e-56,55.724478038373555,Decrease in aging
ZFX,3.611792459343945e-14,0.2976295387721831,4.4200972873557624e-14,healthy,aging,aida,CD8T,4.32897882004312e-38,5.2092447082413e-38,37.283225240773746,Increase in aging
ZFY,0.7754908255869366,0.011467414382770429,0.7901227279565014,healthy,aging,aida,CD8T,2.3254128426171304e-09,2.46220183335931e-09,8.608676349649443,Inconsistent
ZGPAT,1.5618403675672735e-33,0.45802905383837994,2.2717678073705797e-33,healthy,aging,aida,CD8T,6.0852230408786004e-46,8.08866570356786e-46,45.09212311316771,Increase in aging
ZHX2,0.3242134385097746,0.03962454478119678,0.33830967496672126,healthy,aging,aida,CD8T,1.08363401433533e-09,1.15019630022816e-09,8.939228033706716,Inconsistent
ZIK1,2.7757897085624316e-36,-0.47508385903662176,4.313457388845218e-36,healthy,aging,aida,CD8T,1.57286934188479e-51,2.57378619581148e-51,50.58942753273694,Decrease in aging
ZKSCAN1,1.1722184007986556e-46,-0.5319397009515152,8.167715308790633e-46,healthy,aging,aida,CD8T,3.01483927001031e-61,6.2019550697355e-60,59.20747138434775,Decrease in aging
ZMAT1,1.1958303923995893e-45,-0.5268595552768659,5.3812367657981523e-45,healthy,aging,aida,CD8T,3.1839130005460202e-59,1.6773785563852202e-58,57.77536891330562,Decrease in aging
ZNF10,1.9625360881804468e-38,-0.48778112797274387,3.3378566539132014e-38,healthy,aging,aida,CD8T,1.05354320842077e-57,3.76141046312209e-57,56.424649271697994,Decrease in aging
ZNF101,2.8510474804761902e-43,-0.5145344933463444,7.510076290034842e-43,healthy,aging,aida,CD8T,2.24549079728081e-57,7.34887897291901e-57,56.133778904862325,Decrease in aging
ZNF107,2.983590823444846e-39,-0.4924747307447348,5.4155934274293e-39,healthy,aging,aida,CD8T,2.3465966928665502e-59,1.30817309746294e-58,57.88333478636407,Decrease in aging
ZNF131,2.7086524736343565e-45,-0.5250504753443187,1.0637616987364017e-44,healthy,aging,aida,CD8T,3.0598975392328897e-62,2.98746483544095e-60,59.524697197964755,Decrease in aging
ZNF134,8.998639294036547e-39,-0.48973286511866915,1.5802488516356863e-38,healthy,aging,aida,CD8T,1.3935173154467699e-55,3.6047873070239795e-55,54.44312035483106,Decrease in aging
ZNF135,5.639218053097042e-43,-0.51296280784899,1.458767783795163e-42,healthy,aging,aida,CD8T,1.76556089008159e-57,5.82906290885979e-57,56.234401257629045,Decrease in aging
ZNF138,6.58884273478832e-45,-0.523071144102833,2.352380216056656e-44,healthy,aging,aida,CD8T,7.06872159575774e-60,5.08947954894558e-59,58.293326626421106,Decrease in aging
ZNF14,9.799332860070445e-23,-0.37974011850025124,1.2750939143224194e-22,healthy,aging,aida,CD8T,1.86322697467767e-55,4.734788547416189e-55,54.32469941153735,Decrease in aging
ZNF141,7.797994914136956e-46,-0.5278012633119097,3.729938914124591e-45,healthy,aging,aida,CD8T,1.01055923476305e-61,3.6380132451469904e-60,59.43913572410602,Decrease in aging
ZNF142,1.1126442889447969e-52,0.5605924473714721,8.011038880402538e-51,healthy,aging,aida,CD8T,1.4845836267591301e-52,2.72910692238275e-52,51.56397944897973,Increase in aging
ZNF148,3.653275906923639e-10,-0.24808986653157974,4.347700252867802e-10,healthy,aging,aida,CD8T,1.26779235982152e-42,1.6155938036663698e-42,41.79166782116104,Decrease in aging
ZNF154,5.875188130029755e-42,-0.5074991268025337,1.3645598237488462e-41,healthy,aging,aida,CD8T,3.8233033752335797e-56,1.06559165038768e-55,54.97240919114371,Decrease in aging
ZNF207,2.914337837507708e-42,0.5091440206133593,7.03348573074486e-42,healthy,aging,aida,CD8T,3.0758397484230697e-48,4.2725491039188696e-48,47.36931293728166,Increase in aging
ZNF217,5.25819390556756e-10,-0.24590509587019588,6.223396622479961e-10,healthy,aging,aida,CD8T,8.81137392690579e-38,1.05152307636003e-37,36.978181191997294,Decrease in aging
ZNF22,2.5741659038885072e-46,-0.5302287166502332,1.5662530570138522e-45,healthy,aging,aida,CD8T,1.46640249850513e-60,1.71212399825464e-59,58.766464785331976,Decrease in aging
ZNF223,5.8675974560384515e-34,-0.4607293152876698,8.651201709927e-34,healthy,aging,aida,CD8T,7.65006359585814e-53,1.4819854140855202e-52,51.82915607072467,Decrease in aging
ZNF24,8.291150957077546e-44,-0.5173598179535325,2.2386107584109376e-43,healthy,aging,aida,CD8T,3.43840100106781e-61,6.458214054179541e-60,59.189887564613315,Decrease in aging
ZNF263,1.7968591935119722e-47,-0.5359798925833128,1.5841697379534123e-46,healthy,aging,aida,CD8T,2.4666017560857e-60,2.3679376858422703e-59,58.625629730602384,Decrease in aging
ZNF264,6.11140147861909e-41,-0.5019384779488815,1.2632179132839458e-40,healthy,aging,aida,CD8T,1.02498509675936e-60,1.3023340052942501e-59,58.88527761941335,Decrease in aging
ZNF267,1.687246166652947e-51,0.5551888166910127,9.111129299925913e-50,healthy,aging,aida,CD8T,3.8381890382057702e-53,7.7120821604878605e-53,52.112828352334425,Increase in aging
