TF,median_LPS,median_NS,effect,U,p,FDR,sig
ZNF526,2.9176631349301925,5.2078713646827595,-2.290208229752567,112.0,5.7270956811301576e-39,2.3460997220068276e-38,***
MSC,7.982424624279099,-2.8489836186586723,10.831408242937771,14031.0,5.869967288437776e-39,2.383717151043862e-38,***
ZNF281,3.106136528722497,-7.719513237776654,10.82564976649915,14028.0,6.320192212793886e-39,2.544422209805815e-38,***
JUNB,8.2098943648062,-2.839161964866655,11.049056329672855,14027.0,6.477768865806426e-39,2.585570991736411e-38,***
ZNF558,-1.5572089506159952,5.253039444815606,-6.810248395431601,118.0,6.639251020143581e-39,2.6275679884805525e-38,***
CXXC5,-0.6532242270645703,4.840760190333006,-5.493984417397576,119.0,6.804734890193215e-39,2.6704295745548164e-38,***
MAX,0.8738340804056584,3.8161831304056557,-2.942349049999997,121.0,7.14810447119997e-39,2.7818039900419885e-38,***
MBNL2,-5.962480900329134,6.147818069685163,-12.110298970014298,126.0,8.083761482764547e-39,3.094357879058233e-38,***
BHLHE40,3.788286082105855,-0.8091067103243446,4.597392792430199,14018.0,8.083761482764547e-39,3.094357879058233e-38,***
ZNF652,-3.2438137959596682,1.533568982093183,-4.777382778052852,128.0,8.491255118176818e-39,3.223915561128922e-38,***
BCL6,10.267763683371667,-4.178929389427055,14.446693072798723,14015.0,8.702595711098604e-39,3.2254858707008323e-38,***
KLF10,9.136760324223992,-2.2667803289538937,11.403540653177886,14015.0,8.702595711098604e-39,3.2254858707008323e-38,***
ZFP64,-7.5106632115065555,-0.4101761027679351,-7.10048710873862,129.0,8.702595711098604e-39,3.2254858707008323e-38,***
GPBP1,1.1819056315424292,-6.657491414893038,7.839397046435468,14012.0,9.368508263424638e-39,3.4180416867338327e-38,***
NFKB1,7.382507920544339,-7.1120177839059755,14.494525704450314,14012.0,9.368508263424638e-39,3.4180416867338327e-38,***
