group	TF	jackknife	rho
REF_RPMI	PBX3	12	-0.37718283189564483
REF_RPMI	TCF12	12	0.2735640648011782
REF_RPMI	SPI1	12	-0.04043498842836103
REF_RPMI	SPIB	12	0.24808015989901114
REF_RPMI	ETV6	12	-0.10623553545129391
REF_RPMI	CEBPB	13	0.44673101199242576
REF_RPMI	FOS	13	-0.1345729013254786
REF_RPMI	FOSL2	13	0.05930464969492951
REF_RPMI	GATA2	13	0.11904323585104143
REF_RPMI	GATA3	13	-0.05656953503050705
REF_RPMI	JUN	13	0.6082868714496107
REF_RPMI	JUND	13	0.23745529139490845
REF_RPMI	MAX	13	-0.2853197980223017
REF_RPMI	MEF2A	13	0.07442667788764991
REF_RPMI	MYC	13	0.4579870608037029
REF_RPMI	NFIC	13	0.08459131075110454
REF_RPMI	PBX3	13	-0.38979328844940037
REF_RPMI	TCF12	13	0.2921312855038922
REF_RPMI	SPI1	13	-0.06142173364191037
REF_RPMI	SPIB	13	0.21482484746475905
REF_RPMI	ETV6	13	-0.11736008836524299
REF_RPMI	CEBPB	14	0.4460340837365874
REF_RPMI	FOS	14	-0.13619030086261308
REF_RPMI	FOSL2	14	0.07158636650536503
REF_RPMI	GATA2	14	0.10213286345466022
REF_RPMI	GATA3	14	-0.06101409636019355
REF_RPMI	JUN	14	0.6071954555017883
REF_RPMI	JUND	14	0.23790237744582365
REF_RPMI	MAX	14	-0.29101357037660425
REF_RPMI	MEF2A	14	0.06481432779297286
REF_RPMI	MYC	14	0.4562776141384388
REF_RPMI	NFIC	14	0.08179044813801808
REF_RPMI	PBX3	14	-0.3931201346517988
REF_RPMI	TCF12	14	0.31107984430885754
REF_RPMI	SPI1	14	-0.06401220281927203
REF_RPMI	SPIB	14	0.22068956448558805
REF_RPMI	ETV6	14	-0.13083841784136335
REF_RPMI	CEBPB	15	0.4420629076372817
REF_RPMI	FOS	15	-0.12714338312644644
REF_RPMI	FOSL2	15	0.046089312013465174
REF_RPMI	GATA2	15	0.0905086261308647
REF_RPMI	GATA3	15	-0.08898327372185987
REF_RPMI	JUN	15	0.602606248685041
REF_RPMI	JUND	15	0.2561408584052178
REF_RPMI	MAX	15	-0.26612139701241316
REF_RPMI	MEF2A	15	0.09375657479486639
REF_RPMI	MYC	15	0.44024826425415525
REF_RPMI	NFIC	15	0.10367136545339785
REF_RPMI	PBX3	15	-0.369135282979171
REF_RPMI	TCF12	15	0.2672654113191668
REF_RPMI	SPI1	15	-0.041828844940037864
REF_RPMI	SPIB	15	0.2502235430254576
REF_RPMI	ETV6	15	-0.11073269513991163
REF_RPMI	CEBPB	16	0.4572638333683989
REF_RPMI	FOS	16	-0.13904376183463074
REF_RPMI	FOSL2	16	0.06666841994529771
REF_RPMI	GATA2	16	0.11870134651798864
REF_RPMI	GATA3	16	-0.07371660004207868
REF_RPMI	JUN	16	0.6160977277508941
REF_RPMI	JUND	16	0.2516173995371344
REF_RPMI	MAX	16	-0.2863717652009257
REF_RPMI	MEF2A	16	0.07808226383336839
REF_RPMI	MYC	16	0.4570139911634757
REF_RPMI	NFIC	16	0.09943719755943613
REF_RPMI	PBX3	16	-0.3869661266568482
REF_RPMI	TCF12	16	0.28817325899431934
REF_RPMI	SPI1	16	-0.0392778245318746
REF_RPMI	SPIB	16	0.22923679781190825
REF_RPMI	ETV6	16	-0.10432884494003786
REF_RPMI	CEBPB	17	0.4543051756785188
REF_RPMI	FOS	17	-0.13505943614559224
REF_RPMI	FOSL2	17	0.06107984430885756
REF_RPMI	GATA2	17	0.1135072585735325
REF_RPMI	GATA3	17	-0.06807542604670733
REF_RPMI	JUN	17	0.6194114243635598
REF_RPMI	JUND	17	0.25256416999789605
REF_RPMI	MAX	17	-0.28057279612876074
REF_RPMI	MEF2A	17	0.08799705449189983
REF_RPMI	MYC	17	0.4642725646959815
REF_RPMI	NFIC	17	0.09609720176730485
REF_RPMI	PBX3	17	-0.3984720176730486
REF_RPMI	TCF12	17	0.28504365663791287
REF_RPMI	SPI1	17	-0.04197349042709867
REF_RPMI	SPIB	17	0.2223332632021881
REF_RPMI	ETV6	17	-0.11153482011361245
REF_RPMI	CEBPB	18	0.44492951819903215
REF_RPMI	FOS	18	-0.15486271828318957
REF_RPMI	FOSL2	18	0.07165211445402903
REF_RPMI	GATA2	18	0.12714338312644644
REF_RPMI	GATA3	18	-0.07016621081422258
REF_RPMI	JUN	18	0.6028034925310329
REF_RPMI	JUND	18	0.23967757205975168
REF_RPMI	MAX	18	-0.27995476541131914
REF_RPMI	MEF2A	18	0.06841731537976015
REF_RPMI	MYC	18	0.44918998527245946
REF_RPMI	NFIC	18	0.08431516936671574
REF_RPMI	PBX3	18	-0.3814169997896065
REF_RPMI	TCF12	18	0.28804176309699137
REF_RPMI	SPI1	18	-0.03700294550810015
REF_RPMI	SPIB	18	0.24011150852093413
REF_RPMI	ETV6	18	-0.10845781611613717
REF_RPMI	CEBPB	19	0.4426151904060593
REF_RPMI	FOS	19	-0.1521407532084999
REF_RPMI	FOSL2	19	0.051270250368188504
REF_RPMI	GATA2	19	0.13868872291184514
REF_RPMI	GATA3	19	-0.05258520934146854
REF_RPMI	JUN	19	0.604512939196297
REF_RPMI	JUND	19	0.2638859667578371
REF_RPMI	MAX	19	-0.267712497370082
REF_RPMI	MEF2A	19	0.059291500105196716
REF_RPMI	MYC	19	0.44107668840732167
REF_RPMI	NFIC	19	0.08240847885545971
REF_RPMI	PBX3	19	-0.3804965285083105
REF_RPMI	TCF12	19	0.27269619187881333
REF_RPMI	SPI1	19	-0.06242110246160319
REF_RPMI	SPIB	19	0.24572638333683988
REF_RPMI	ETV6	19	-0.12985219861140332
REF_RPMI	CEBPB	20	0.4612350094677046
REF_RPMI	FOS	20	-0.1334551861981906
REF_RPMI	FOSL2	20	0.06039606564275195
REF_RPMI	GATA2	20	0.1137045024195245
REF_RPMI	GATA3	20	-0.0861692615190406
REF_RPMI	JUN	20	0.6105617504733851
REF_RPMI	JUND	20	0.2473569324637071
REF_RPMI	MAX	20	-0.28303176940879443
REF_RPMI	MEF2A	20	0.0825925731117189
REF_RPMI	MYC	20	0.4593151693667157
REF_RPMI	NFIC	20	0.11261308647170207
REF_RPMI	PBX3	20	-0.38127235430254575
REF_RPMI	TCF12	20	0.2825189354092152
REF_RPMI	SPI1	20	-0.03246633705028403
REF_RPMI	SPIB	20	0.21468020197769827
REF_RPMI	ETV6	20	-0.09742531033031768
REF_RPMI	CEBPB	21	0.45942036608457815
REF_RPMI	FOS	21	-0.133954870608037
REF_RPMI	FOSL2	21	0.06615558594571849
REF_RPMI	GATA2	21	0.11601883021249736
REF_RPMI	GATA3	21	-0.07714864296233956
REF_RPMI	JUN	21	0.6097464759099516
REF_RPMI	JUND	21	0.24892173364191036
REF_RPMI	MAX	21	-0.2822296444350936
REF_RPMI	MEF2A	21	0.0710209341468546
REF_RPMI	MYC	21	0.46395697454239426
REF_RPMI	NFIC	21	0.10783978539869556
REF_RPMI	PBX3	21	-0.38733431516936667
REF_RPMI	TCF12	21	0.2847543656637913
REF_RPMI	SPI1	21	-0.03601672627814012
REF_RPMI	SPIB	21	0.2315511256048811
REF_RPMI	ETV6	21	-0.10017357458447296
REF_RPMI	CEBPB	22	0.44520565958342095
REF_RPMI	FOS	22	-0.12766936671575846
REF_RPMI	FOSL2	22	0.07442667788764991
REF_RPMI	GATA2	22	0.11851725226172942
REF_RPMI	GATA3	22	-0.06695771091941931
REF_RPMI	JUN	22	0.6065511256048811
REF_RPMI	JUND	22	0.23767883442036608
REF_RPMI	MAX	22	-0.2803755522827688
REF_RPMI	MEF2A	22	0.060830002103934355
REF_RPMI	MYC	22	0.4657321691563223
REF_RPMI	NFIC	22	0.08073848095939407
REF_RPMI	PBX3	22	-0.3913712392173364
REF_RPMI	TCF12	22	0.2904481380180938
REF_RPMI	SPI1	22	-0.06186881969282558
REF_RPMI	SPIB	22	0.22852671996633706
REF_RPMI	ETV6	22	-0.11825426046707341
REF_RPMI	CEBPB	23	0.4517541552703555
REF_RPMI	FOS	23	-0.1290237744582369
REF_RPMI	FOSL2	23	0.05706921944035345
REF_RPMI	GATA2	23	0.10468388386282347
REF_RPMI	GATA3	23	-0.07653061224489796
REF_RPMI	JUN	23	0.6181227645697454
REF_RPMI	JUND	23	0.24827740374500312
REF_RPMI	MAX	23	-0.30500473385230376
REF_RPMI	MEF2A	23	0.059870082053439924
REF_RPMI	MYC	23	0.4595124132127077
REF_RPMI	NFIC	23	0.07871344414054281
REF_RPMI	PBX3	23	-0.3926598990111508
REF_RPMI	TCF12	23	0.2859378287397433
REF_RPMI	SPI1	23	-0.06202661476961919
REF_RPMI	SPIB	23	0.250591731537976
REF_RPMI	ETV6	23	-0.12861613717652007
REF_RPMI	CEBPB	24	0.45107037660424987
REF_RPMI	FOS	24	-0.14300178834420363
REF_RPMI	FOSL2	24	0.05905480749000631
REF_RPMI	GATA2	24	0.10409215232484746
REF_RPMI	GATA3	24	-0.06468283189564485
REF_RPMI	JUN	24	0.6095623816536924
REF_RPMI	JUND	24	0.24554228908058068
REF_RPMI	MAX	24	-0.28052019776982956
REF_RPMI	MEF2A	24	0.06923258994319377
REF_RPMI	MYC	24	0.4496765200925731
REF_RPMI	NFIC	24	0.10769513991163475
REF_RPMI	PBX3	24	-0.3811540079949506
REF_RPMI	TCF12	24	0.28684515043130654
REF_RPMI	SPI1	24	-0.05116505365032611
REF_RPMI	SPIB	24	0.23652167052387962
REF_RPMI	ETV6	24	-0.11238954344624447
REF_RPMI	CEBPB	25	0.46110351357037654
REF_RPMI	FOS	25	-0.13107511045655373
REF_RPMI	FOSL2	25	0.06424889543446244
REF_RPMI	GATA2	25	0.11927992846623184
REF_RPMI	GATA3	25	-0.08097517357458447
REF_RPMI	JUN	25	0.6097070271407532
REF_RPMI	JUND	25	0.2558515674310961
REF_RPMI	MAX	25	-0.29603671365453393
REF_RPMI	MEF2A	25	0.08954870608037029
REF_RPMI	MYC	25	0.4547917104986324
REF_RPMI	NFIC	25	0.1136782032400589
REF_RPMI	PBX3	25	-0.3842310119924258
REF_RPMI	TCF12	25	0.29879812749842205
REF_RPMI	SPI1	25	-0.03255838417841363
REF_RPMI	SPIB	25	0.21733641910372395
REF_RPMI	ETV6	25	-0.09529507679360402
REF_RPMI	CEBPB	26	0.46045918367346933
REF_RPMI	FOS	26	-0.13515148327372187
REF_RPMI	FOSL2	26	0.06311803071744161
REF_RPMI	GATA2	26	0.11654481380180937
REF_RPMI	GATA3	26	-0.06597149168945927
REF_RPMI	JUN	26	0.6134546602146013
REF_RPMI	JUND	26	0.24813275825794234
REF_RPMI	MAX	26	-0.29242057647801384
REF_RPMI	MEF2A	26	0.07685935198821796
REF_RPMI	MYC	26	0.46081422259625493
REF_RPMI	NFIC	26	0.10457868714496107
REF_RPMI	PBX3	26	-0.3888596675783715
REF_RPMI	TCF12	26	0.29281506416999786
REF_RPMI	SPI1	26	-0.039369871660004205
REF_RPMI	SPIB	26	0.2223069640227225
REF_RPMI	ETV6	26	-0.1020934146854618
REF_RPMI	CEBPB	27	0.46511413843888066
REF_RPMI	FOS	27	-0.13052282768777612
REF_RPMI	FOSL2	27	0.060119924258363135
REF_RPMI	GATA2	27	0.11842520513359982
REF_RPMI	GATA3	27	-0.07721439091100356
REF_RPMI	JUN	27	0.6144803282137596
REF_RPMI	JUND	27	0.25927046076162424
REF_RPMI	MAX	27	-0.2815853145381864
REF_RPMI	MEF2A	27	0.0827503681885125
REF_RPMI	MYC	27	0.4645224069009046
REF_RPMI	NFIC	27	0.10877340626972436
REF_RPMI	PBX3	27	-0.38203503050704807
REF_RPMI	TCF12	27	0.3009941089837997
REF_RPMI	SPI1	27	-0.036529560277719336
REF_RPMI	SPIB	27	0.2243714496107721
REF_RPMI	ETV6	27	-0.10058121186618976
REF_RPMI	CEBPB	28	0.4619582369030085
REF_RPMI	FOS	28	-0.13212707763517778
REF_RPMI	FOSL2	28	0.06123763938565116
REF_RPMI	GATA2	28	0.1100883652430044
REF_RPMI	GATA3	28	-0.07301967178624026
REF_RPMI	JUN	28	0.6148090679570797
REF_RPMI	JUND	28	0.2543262150220913
REF_RPMI	MAX	28	-0.29231537976015143
REF_RPMI	MEF2A	28	0.08023879654954764
REF_RPMI	MYC	28	0.4662055543867031
REF_RPMI	NFIC	28	0.10486797811908266
REF_RPMI	PBX3	28	-0.3832579423521985
REF_RPMI	TCF12	28	0.29118451504313064
REF_RPMI	SPI1	28	-0.03802861350725857
REF_RPMI	SPIB	28	0.22493688196928255
REF_RPMI	ETV6	28	-0.10442089206816746
REF_RPMI	CEBPB	29	0.4566984010098885
REF_RPMI	FOS	29	-0.14644698085419736
REF_RPMI	FOSL2	29	0.06857511045655375
REF_RPMI	GATA2	29	0.10969387755102039
REF_RPMI	GATA3	29	-0.0662739322533137
REF_RPMI	JUN	29	0.6155322953923836
REF_RPMI	JUND	29	0.24802756154007993
REF_RPMI	MAX	29	-0.29685198821796754
REF_RPMI	MEF2A	29	0.07621502209131074
REF_RPMI	MYC	29	0.45823690300862613
REF_RPMI	NFIC	29	0.09605775299810645
REF_RPMI	PBX3	29	-0.39596044603408365
REF_RPMI	TCF12	29	0.285950978329476
REF_RPMI	SPI1	29	-0.04791710498632442
REF_RPMI	SPIB	29	0.23441773616663156
REF_RPMI	ETV6	29	-0.11346780980433409
REF_RPMI	CEBPB	30	0.4591836734693877
REF_RPMI	FOS	30	-0.1369135282979171
REF_RPMI	FOSL2	30	0.06616873553545129
REF_RPMI	GATA2	30	0.11517725646959813
REF_RPMI	GATA3	30	-0.07455817378497791
REF_RPMI	JUN	30	0.614980012623606
REF_RPMI	JUND	30	0.25019724384599196
REF_RPMI	MAX	30	-0.2894093204292026
REF_RPMI	MEF2A	30	0.08115926783084366
REF_RPMI	MYC	30	0.4572638333683989
REF_RPMI	NFIC	30	0.10139648642962337
REF_RPMI	PBX3	30	-0.39183147485798436
REF_RPMI	TCF12	30	0.2878839680201977
REF_RPMI	SPI1	30	-0.039606564275194614
REF_RPMI	SPIB	30	0.22488428361035134
REF_RPMI	ETV6	30	-0.10603829160530191
REF_RPMI	CEBPB	31	0.4625368188512518
