gene,p_value,slope,p_value_adj,neg_log10_adj_pval,ctrl,condition,comparison,age_group,dataset,cell_type,direction
HIVEP1,9.844838646205716e-05,-0.576443414941842,0.0001181380637544,3.927610151369475,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
HIVEP2,0.0096175558508732,0.7039160202170776,0.0106141937628808,1.974112988556846,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HIVEP3,4.832058648962834e-25,1.9404938604503936,2.3128730162451322e-24,23.635848210661248,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HMBOX1,1.1725873312152011e-24,0.6600010258596658,5.0456788191684426e-24,23.297080397794314,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HMG20B,6.564623734255534e-23,0.8048762213207787,1.928641179857143e-22,21.714748564529998,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HMGA1,7.183590159573172e-16,2.024252960378405,1.2095689359597517e-15,14.917369375211338,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HMGN3,6.906904359703745e-08,0.2813652618411346,9.16617214091525e-08,7.037811990954684,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HOXB2,6.37495275941461e-15,0.2628172466613738,1.0526084788800868e-14,13.977733136013589,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HSF1,9.572951341399082e-21,0.6735608605351673,2.2163463431717438e-20,19.65436237247464,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HSF2,4.016703102302881e-06,-0.31135323346715,5.153962414400684e-06,5.287858752893748,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
IKZF1,0.0001442966276485,-1.6906498915681285,0.0001726695600513,3.762784217539379,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
IKZF2,9.253105597253802e-26,2.5955357080051336,5.883317887209134e-25,24.23037768519559,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IKZF3,5.940043850226922e-23,2.0788229335161708,1.757262972358798e-22,21.75516324197745,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IKZF4,8.465493622671535e-16,0.5593011247854489,1.4198032611252262e-15,14.847771830636106,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IKZF5,0.0062091559710585,0.2903985343633062,0.0069243467111805,2.1596211945541968,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF1,2.548355158465837e-24,2.5545137875430264,1.053979900491696e-23,22.97716767108626,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF2,9.821616933374742e-24,1.5541107125073983,3.40163318180296e-23,22.468312520737573,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF3,2.7288407715132185e-14,0.9559939762063294,4.4033566994872396e-14,13.35621613254084,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF4,0.3062299228525795,0.0469647565280562,0.3158691213927334,0.5004928276061144,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF5,2.82503775234637e-24,2.0634135231260697,1.1571789254803401e-23,22.93659948431453,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF7,7.122607676615462e-30,2.7124601120446865,4.094510273934915e-28,27.387798034818427,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
IRF9,1.4371622216773765e-33,2.308042104688746,3.0611555321728115e-31,30.514114604068652,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
JAZF1,1.389678863165325e-25,2.173195702426974,8.222266607061507e-25,24.085008445325258,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
JUN,1.4227975429306411e-11,1.729266470214517,2.061604603021949e-11,10.685794624790486,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
JUNB,0.0022173992403484,0.8429267728270746,0.0025324720546607,2.5964553382968485,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
JUND,8.394415152499248e-08,1.2088740939824465,1.1037101404211973e-07,6.957144967317165,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KAT7,3.684973033900407e-18,1.0745077754843475,7.135447783825333e-18,17.146578767616983,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KCMF1,3.516750506349342e-27,0.9914945559113466,4.161488099180055e-26,25.380751343003357,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KDM2A,0.0035315206707028,0.8621531826777531,0.0039799677399984,2.4001204481266796,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KDM2B,6.1006224255723015e-24,1.1769371200893914,2.2998806666316812e-23,22.63829469753366,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KDM5B,1.6930425152582577e-27,0.9265656405774988,2.1855639742424782e-26,25.660436476635386,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF10,3.06892636926024e-26,2.598170634770128,2.1789377221747703e-25,24.661755182467083,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF11,3.590029531466534e-25,0.592371112410115,1.7992383298879333e-24,23.744911305526234,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF12,0.0138763731258215,0.899396506763015,0.0152353993597937,1.8171461572941778,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF13,1.8952285898503174e-22,1.706242027254426,5.208821801782163e-22,21.283260499896247,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF2,7.401815436018267e-05,0.892471494477288,9.009066787839376e-05,4.04532019346957,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF3,0.1489812454177739,-0.2182810160437647,0.1555539474214992,0.808118963522667,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
KLF4,0.0011600403905751,0.1196784437857916,0.0013392336216395,2.8731436561927977,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF6,4.968961455765678e-27,4.685599982962689,5.427634820913279e-26,25.265389379987504,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF7,3.975519104749676e-16,-0.875069334536259,6.747295373001444e-16,15.170870277534524,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
KLF8,7.185348141288485e-20,1.0828162072692664,1.5537859432430933e-19,18.808608811836002,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
KLF9,0.0353736310477473,-0.3054517078846537,0.0379575990587918,1.4207012659100497,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
KMT2A,7.14659150448934e-05,1.2802997210082454,8.748413738254191e-05,4.058070686083442,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
L3MBTL3,1.1753613469938286e-20,1.0514258077479577,2.6919566334374784e-20,19.569931940737252,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
LCOR,1.1694186497316742e-14,1.0182131409410928,1.9087063018608935e-14,13.71926089260896,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
LEF1,6.900867322777726e-23,-3.5837562923528434,2.0135407393858293e-22,21.696039579013355,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
LIN54,4.905541145060292e-22,0.5466652337158724,1.2665215319973846e-21,20.89738742241654,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
LYL1,6.312153113664002e-24,1.6765447504801294,2.318083815880056e-23,22.634870865129923,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MAF,2.431644996609458e-26,3.623536828531039,1.7860013250959123e-25,24.748118223229316,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MAFF,6.851309343552952e-05,0.4645053023722925,8.411117522632731e-05,4.0751462988905525,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MAX,8.550571287120215e-17,0.8785159012723831,1.5240767231436034e-16,15.81699316974235,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MAZ,1.0109715133628772e-25,1.7013426897623063,6.3334391866556725e-25,24.19836039516742,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MBD1,1.4443277075443126e-26,0.4781966458892475,1.1832376988728406e-25,24.92692800183095,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MBD2,3.91283701662898e-24,1.46902875087848,1.572517518003722e-23,22.803404507771422,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MBD4,2.0243057388056048e-22,0.916725218439466,5.527911825199919e-22,21.2574388929375,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MBNL2,2.286313821467919e-23,1.9359521807104687,7.268430507054726e-23,22.138559357464555,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MECP2,3.527742924401808e-25,1.7176145868682813,1.7890696259466314e-24,23.747372757489632,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
MEF2A,5.906173432260055e-05,-0.8509859209537467,7.271762665152553e-05,4.138360304001798,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
