targetId,n_trials,pct_reached_phase3,n_reached_phase3,pct_reached_phase2,n_reached_phase2,pct_terminated,n_terminated,pct_withdrawn,n_withdrawn,pct_endpoint_primary,n_endpoint_primary,pct_endpoint_secondary,n_endpoint_secondary,pct_endpoint_either,n_endpoint_either,pct_phase1_to_phase2,n_phase1_to_phase2,targetFromSourceId
ENSG00000013725,3.0,33.3,1.0,33.3,1.0,0.0,0.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P30203
ENSG00000014138,2225.0,14.7,405.0,67.0,1848.0,18.5,511.0,4.6,127.0,32.1,885.0,31.5,869.0,34.4,948.0,19.0,123.0,Q14181
ENSG00000014257,24.0,15.4,4.0,88.5,23.0,7.7,2.0,7.7,2.0,34.6,9.0,30.8,8.0,38.5,10.0,33.3,1.0,P15309
ENSG00000015413,19.0,28.6,6.0,71.4,15.0,19.0,4.0,0.0,0.0,38.1,8.0,38.1,8.0,38.1,8.0,0.0,0.0,P16444
ENSG00000015520,151.0,80.7,134.0,94.0,156.0,7.2,12.0,0.0,0.0,67.5,112.0,66.3,110.0,67.5,112.0,0.0,0.0,Q9UHC9
ENSG00000017427,12.0,0.0,0.0,16.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P05019
ENSG00000018625,67.0,14.3,10.0,28.6,20.0,5.7,4.0,8.6,6.0,7.1,5.0,5.7,4.0,7.1,5.0,0.0,0.0,P50993
ENSG00000019582,8.0,0.0,0.0,0.0,0.0,30.0,3.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P04233
ENSG00000019991,18.0,10.5,2.0,47.4,9.0,31.6,6.0,15.8,3.0,5.3,1.0,5.3,1.0,5.3,1.0,0.0,0.0,P14210
ENSG00000021461,497.0,47.9,246.0,78.2,402.0,9.1,47.0,2.5,13.0,46.3,238.0,45.3,233.0,47.7,245.0,57.4,58.0,Q9HB55
ENSG00000021826,2.0,50.0,2.0,100.0,4.0,50.0,2.0,0.0,0.0,50.0,2.0,50.0,2.0,50.0,2.0,,0.0,P31327
ENSG00000022355,668.0,36.4,265.0,64.8,472.0,11.4,83.0,3.6,26.0,31.2,227.0,31.2,227.0,33.8,246.0,3.2,7.0,P14867
ENSG00000023228,681.0,45.6,329.0,76.2,550.0,11.5,83.0,3.7,27.0,42.7,308.0,42.9,310.0,45.2,326.0,25.2,32.0,P28331
ENSG00000023330,4.0,50.0,4.0,50.0,4.0,0.0,0.0,0.0,0.0,50.0,4.0,50.0,4.0,50.0,4.0,0.0,0.0,ENSG00000023330
ENSG00000023445,11.0,0.0,0.0,16.7,3.0,50.0,9.0,16.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q13489
ENSG00000025434,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Q13133
ENSG00000025708,33.0,18.2,6.0,54.5,18.0,24.2,8.0,6.1,2.0,24.2,8.0,24.2,8.0,24.2,8.0,15.4,2.0,P19971
ENSG00000026508,4.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P16070
ENSG00000026559,49.0,60.7,34.0,96.4,54.0,7.1,4.0,5.4,3.0,42.9,24.0,42.9,24.0,44.6,25.0,0.0,0.0,Q9UIX4
